2023-03-13 11:05:58
alpha: 0.1    batchsize: 128    dim: 64    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.5    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 100    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 104 | postive loss : 321.46, negtive prim loss : 127.83, negtive defi loss : 187.76, worst lambd: 935.21, worst prim gap: 0.01, worst defi gap: 0.00:  21%|██        | 105/500 [03:14<12:06,  1.84s/it]
Epoch 105 | postive loss : 311.46, negtive prim loss : 125.62, negtive defi loss : 185.60, worst lambd: 905.59, worst prim gap: 0.01, worst defi gap: 0.00:  21%|██        | 106/500 [03:15<12:05,  1.84s/it]
Epoch 106 | postive loss : 301.80, negtive prim loss : 123.36, negtive defi loss : 182.88, worst lambd: 879.81, worst prim gap: 0.01, worst defi gap: 0.02:  21%|██▏       | 107/500 [03:17<12:03,  1.84s/it]
Epoch 107 | postive loss : 292.42, negtive prim loss : 121.24, negtive defi loss : 180.64, worst lambd: 857.47, worst prim gap: 0.01, worst defi gap: 0.02:  22%|██▏       | 108/500 [03:19<12:01,  1.84s/it]
Epoch 108 | postive loss : 283.36, negtive prim loss : 119.25, negtive defi loss : 178.46, worst lambd: 832.33, worst prim gap: 0.00, worst defi gap: 0.02:  22%|██▏       | 109/500 [03:21<11:59,  1.84s/it]
Epoch 109 | postive loss : 274.56, negtive prim loss : 117.21, negtive defi loss : 176.26, worst lambd: 808.54, worst prim gap: 0.01, worst defi gap: 0.01:  22%|██▏       | 110/500 [03:23<11:59,  1.84s/it]
Epoch 110 | postive loss : 266.05, negtive prim loss : 115.19, negtive defi loss : 174.32, worst lambd: 783.02, worst prim gap: 0.00, worst defi gap: 0.01:  22%|██▏       | 111/500 [03:25<11:57,  1.84s/it]
Epoch 111 | postive loss : 257.80, negtive prim loss : 113.31, negtive defi loss : 171.76, worst lambd: 762.26, worst prim gap: 0.01, worst defi gap: 0.01:  22%|██▏       | 112/500 [03:27<11:55,  1.84s/it]
Epoch 112 | postive loss : 249.82, negtive prim loss : 111.25, negtive defi loss : 169.70, worst lambd: 737.05, worst prim gap: 0.00, worst defi gap: 0.01:  23%|██▎       | 113/500 [03:28<11:53,  1.84s/it]
Epoch 113 | postive loss : 242.05, negtive prim loss : 109.46, negtive defi loss : 167.54, worst lambd: 717.78, worst prim gap: 0.01, worst defi gap: 0.01:  23%|██▎       | 114/500 [03:30<11:53,  1.85s/it]
Epoch 114 | postive loss : 234.52, negtive prim loss : 107.66, negtive defi loss : 165.24, worst lambd: 696.57, worst prim gap: 0.00, worst defi gap: 0.02:  23%|██▎       | 115/500 [03:32<11:51,  1.85s/it]
Epoch 115 | postive loss : 227.17, negtive prim loss : 105.76, negtive defi loss : 163.08, worst lambd: 675.52, worst prim gap: 0.01, worst defi gap: 0.01:  23%|██▎       | 116/500 [03:34<11:49,  1.85s/it]
Epoch 116 | postive loss : 220.04, negtive prim loss : 103.96, negtive defi loss : 161.41, worst lambd: 653.38, worst prim gap: 0.01, worst defi gap: 0.02:  23%|██▎       | 117/500 [03:36<11:46,  1.85s/it]
Epoch 117 | postive loss : 213.14, negtive prim loss : 102.30, negtive defi loss : 159.19, worst lambd: 633.47, worst prim gap: 0.01, worst defi gap: 0.01:  24%|██▎       | 118/500 [03:38<11:44,  1.85s/it]
Epoch 118 | postive loss : 206.42, negtive prim loss : 100.65, negtive defi loss : 157.33, worst lambd: 616.47, worst prim gap: 0.01, worst defi gap: 0.02:  24%|██▍       | 119/500 [03:39<11:42,  1.84s/it]
Epoch 119 | postive loss : 199.93, negtive prim loss : 98.92, negtive defi loss : 155.37, worst lambd: 596.65, worst prim gap: 0.00, worst defi gap: 0.01:  24%|██▍       | 120/500 [03:41<11:41,  1.85s/it] 
Epoch 120 | postive loss : 193.58, negtive prim loss : 97.38, negtive defi loss : 153.40, worst lambd: 578.56, worst prim gap: 0.01, worst defi gap: 0.02:  24%|██▍       | 121/500 [03:43<11:40,  1.85s/it]
Epoch 121 | postive loss : 187.40, negtive prim loss : 95.74, negtive defi loss : 151.45, worst lambd: 562.78, worst prim gap: 0.01, worst defi gap: 0.01:  24%|██▍       | 122/500 [03:45<11:37,  1.85s/it]
Epoch 122 | postive loss : 181.50, negtive prim loss : 94.11, negtive defi loss : 149.51, worst lambd: 544.38, worst prim gap: 0.01, worst defi gap: 0.01:  25%|██▍       | 123/500 [03:47<11:36,  1.85s/it]
Epoch 123 | postive loss : 175.67, negtive prim loss : 92.62, negtive defi loss : 147.76, worst lambd: 528.57, worst prim gap: 0.00, worst defi gap: 0.02:  25%|██▍       | 124/500 [03:49<11:38,  1.86s/it]
Epoch 124 | postive loss : 170.02, negtive prim loss : 91.03, negtive defi loss : 146.11, worst lambd: 516.07, worst prim gap: 0.01, worst defi gap: 0.01:  25%|██▌       | 125/500 [03:51<11:40,  1.87s/it]
Epoch 125 | postive loss : 164.54, negtive prim loss : 89.58, negtive defi loss : 144.34, worst lambd: 500.41, worst prim gap: 0.01, worst defi gap: 0.02:  25%|██▌       | 126/500 [03:53<11:42,  1.88s/it]
Epoch 126 | postive loss : 159.20, negtive prim loss : 88.08, negtive defi loss : 142.62, worst lambd: 486.47, worst prim gap: 0.02, worst defi gap: 0.01:  25%|██▌       | 127/500 [03:54<11:36,  1.87s/it]
