2023-03-14 03:58:29
alpha: 1    batchsize: 64    dim: 128    epoch: 1000    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 1000    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 0/1000 [00:10<?, ?it/s]
Epoch 215 | postive loss : 3.24, negtive prim loss : 3.54, negtive defi loss : 7.05, worst lambd: 8.21, worst prim gap: 0.00, worst defi gap: 0.00:  22%|██▏       | 216/1000 [38:04<2:17:56, 10.56s/it]
Epoch 221 | postive loss : 3.15, negtive prim loss : 3.43, negtive defi loss : 6.83, worst lambd: 7.82, worst prim gap: 0.00, worst defi gap: 0.00:  22%|██▏       | 222/1000 [39:07<2:16:52, 10.56s/it]
Epoch 227 | postive loss : 3.06, negtive prim loss : 3.34, negtive defi loss : 6.65, worst lambd: 7.84, worst prim gap: 0.00, worst defi gap: 0.01:  23%|██▎       | 228/1000 [40:11<2:15:51, 10.56s/it]
Epoch 233 | postive loss : 3.01, negtive prim loss : 3.28, negtive defi loss : 6.50, worst lambd: 7.92, worst prim gap: 0.00, worst defi gap: 0.00:  23%|██▎       | 234/1000 [41:14<2:14:46, 10.56s/it]
Epoch 239 | postive loss : 2.92, negtive prim loss : 3.21, negtive defi loss : 6.38, worst lambd: 7.34, worst prim gap: 0.00, worst defi gap: 0.00:  24%|██▍       | 240/1000 [42:18<2:13:43, 10.56s/it]
Epoch 245 | postive loss : 2.88, negtive prim loss : 3.16, negtive defi loss : 6.27, worst lambd: 6.99, worst prim gap: 0.00, worst defi gap: 0.00:  25%|██▍       | 246/1000 [43:21<2:12:40, 10.56s/it]
Epoch 251 | postive loss : 2.84, negtive prim loss : 3.12, negtive defi loss : 6.19, worst lambd: 7.76, worst prim gap: 0.00, worst defi gap: 0.00:  25%|██▌       | 252/1000 [44:24<2:11:45, 10.57s/it]
Epoch 257 | postive loss : 2.81, negtive prim loss : 3.10, negtive defi loss : 6.14, worst lambd: 7.89, worst prim gap: 0.00, worst defi gap: 0.01:  26%|██▌       | 258/1000 [45:28<2:10:40, 10.57s/it]
Epoch 263 | postive loss : 2.79, negtive prim loss : 3.07, negtive defi loss : 6.09, worst lambd: 6.91, worst prim gap: 0.00, worst defi gap: 0.00:  26%|██▋       | 264/1000 [46:31<2:09:34, 10.56s/it]
Epoch 269 | postive loss : 2.76, negtive prim loss : 3.04, negtive defi loss : 6.03, worst lambd: 7.43, worst prim gap: 0.00, worst defi gap: 0.01:  27%|██▋       | 270/1000 [47:34<2:08:30, 10.56s/it]
